Date	Time	Event	Length	Data
2026/01/13	02:01:09.114	TX FC6	12	00 2C 00 00 00 06 01 06 00 6A 00 00   (unit=1)
2026/01/13	02:01:09.114	TX FC6	12	00 01 00 00 00 06 01 06 00 6A 00 00   (unit=1)
2026/01/13	02:01:09.114	RX FC106	4	00 6A 00 00   (unit=0)
2026/01/13	02:01:09.115			OPC: TX: OPC->Modbus WRITE_OK: Channel2.Device1.MF
2026/01/13	02:01:09.284			OPC: TX: OPC->Modbus WRITE_CALL: Channel2.Device1.MF => [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2026/01/13	02:01:09.299	TX FC16	17	00 2D 00 00 00 0B 01 10 00 5F 00 02 04 42 48 00 00   (unit=1)
2026/01/13	02:01:09.299	TX FC16	17	00 01 00 00 00 0B 01 10 00 5F 00 02 04 42 48 00 00   (unit=1)
2026/01/13	02:01:09.300			OPC: TX: OPC->Modbus WRITE_OK: Channel1.Device1.Tag1
2026/01/13	02:01:09.378	TX FC6	12	00 2E 00 00 00 06 01 06 00 5F 00 00   (unit=1)
2026/01/13	02:01:09.378	TX FC6	12	00 01 00 00 00 06 01 06 00 5F 00 00   (unit=1)
2026/01/13	02:01:09.379			OPC: TX: OPC->Modbus WRITE_OK: Channel1.Device1.MF
2026/01/13	02:01:09.486			OPC: TX: OPC->Modbus WRITE_CALL: Channel1.Device1.MF => [45.0, 5.0, 0.0, 2.0, 600.0000610351562, 3.0, 25.0, 5.0, 25.0, 0.0, 0.0, 0.0, 0.0, -50.0, 0.0, 30.0, 30.0, 600.0, 1.194640759649701e-07, 0.20650000870227814, 0.0, 0.0, 0.0, 0.20650000870227814, 0.0]
2026/01/13	02:01:09.486			OPC: TX: OPC->Modbus WRITE_CALL: Channel1.Device1.Tag1 => 45.0
2026/01/13	02:01:09.755	TX FC2	12	00 2F 00 00 00 06 01 02 00 02 00 01   (unit=1, host=192.168.25.10, port=502)
2026/01/13	02:01:09.782	TX FC2	12	00 01 00 00 00 06 01 02 00 02 00 01   (unit=1, host=192.168.25.10, port=502)
2026/01/13	02:01:09.796	RX FC2	10	00 01 00 00 00 04 01 02 01 00   (unit=1, host=192.168.25.10, port=502)
2026/01/13	02:01:09.796	TX FC2	12	00 01 00 00 00 06 01 02 00 02 00 01   (unit=1, host=192.168.25.10, port=502)
2026/01/13	02:01:09.796	RX FC2	2	01 00   (unit=1, host=192.168.25.10, port=502)
2026/01/13	02:01:10.804	TX FC3	12	00 31 00 00 00 06 01 03 00 6A 00 18   (unit=1, host=192.168.25.10, port=502)
2026/01/13	02:01:10.835	TX FC3	12	00 01 00 00 00 06 01 03 00 6A 00 18   (unit=1, host=192.168.25.10, port=502)
2026/01/13	02:01:10.847	RX FC3	57	00 01 00 00 00 33 01 03 30 00 00 40 40 00 00 41 C8 00 00 40 A0 00 00 41 C8 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 C2 C8 00 00 00 00 00 00 41 F0 00 00 41 F0   (unit=1, host=192.168.25.10, port=502)
2026/01/13	02:01:10.847	TX FC3	12	00 01 00 00 00 06 01 03 00 6A 00 18   (unit=1, host=192.168.25.10, port=502)
2026/01/13	02:01:10.848	RX FC3	49	30 00 00 40 40 00 00 41 C8 00 00 40 A0 00 00 41 C8 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 C2 C8 00 00 00 00 00 00 41 F0 00 00 41 F0   (unit=1, host=192.168.25.10, port=502)
2026/01/13	02:01:11.328	TX FC6	12	00 33 00 00 00 06 01 06 00 6A 00 00   (unit=1)
2026/01/13	02:01:11.329	TX FC6	12	00 01 00 00 00 06 01 06 00 6A 00 00   (unit=1)
2026/01/13	02:01:11.329	RX FC106	4	00 6A 00 00   (unit=0)
2026/01/13	02:01:11.330			OPC: TX: OPC->Modbus WRITE_OK: Channel2.Device1.MF
2026/01/13	02:01:11.520			OPC: TX: OPC->Modbus WRITE_CALL: Channel2.Device1.MF => [3.0, 25.0, 5.0, 25.0, 0.0, 0.0, 0.0, 0.0, -100.0, 0.0, 30.0, 30.0]
2026/01/13	02:01:11.531	TX FC16	17	00 34 00 00 00 0B 01 10 00 5F 00 02 04 42 34 00 00   (unit=1)
2026/01/13	02:01:11.531	TX FC16	17	00 01 00 00 00 0B 01 10 00 5F 00 02 04 42 34 00 00   (unit=1)
2026/01/13	02:01:11.532			OPC: TX: OPC->Modbus WRITE_OK: Channel1.Device1.Tag1
2026/01/13	02:01:11.546	TX FC6	12	00 35 00 00 00 06 01 06 00 5F 00 00   (unit=1)
2026/01/13	02:01:11.546	TX FC6	12	00 01 00 00 00 06 01 06 00 5F 00 00   (unit=1)
2026/01/13	02:01:11.547			OPC: TX: OPC->Modbus WRITE_OK: Channel1.Device1.MF
2026/01/13	02:01:11.731			OPC: TX: OPC->Modbus WRITE_CALL: Channel1.Device1.MF => [50.0, 5.0, 0.0, 2.0, 600.0000610351562, 3.0, 25.0, 5.0, 25.0, 0.0, 0.0, 0.0, 0.0, -50.0, 0.0, 30.0, 30.0, 600.0, 1.194640759649701e-07, 0.20569999516010284, 0.0, 0.0, 0.0, 0.20569999516010284, 0.0]
2026/01/13	02:01:11.731			OPC: TX: OPC->Modbus WRITE_CALL: Channel1.Device1.Tag1 => 50.0
2026/01/13	02:01:11.887	TX FC1	12	00 36 00 00 00 06 01 01 00 01 00 01   (unit=1, host=192.168.25.10, port=502)
2026/01/13	02:01:12.011	TX FC1	12	00 01 00 00 00 06 01 01 00 01 00 01   (unit=1, host=192.168.25.10, port=502)
2026/01/13	02:01:12.024	RX FC1	10	00 01 00 00 00 04 01 01 01 00   (unit=1, host=192.168.25.10, port=502)
2026/01/13	02:01:12.024	TX FC1	12	00 01 00 00 00 06 01 01 00 01 00 01   (unit=1, host=192.168.25.10, port=502)
2026/01/13	02:01:12.024	RX FC1	2	01 00   (unit=1, host=192.168.25.10, port=502)
2026/01/13	02:01:13.038	TX FC2	12	00 38 00 00 00 06 01 02 00 02 00 01   (unit=1, host=192.168.25.10, port=502)
2026/01/13	02:01:13.051	TX FC2	12	00 01 00 00 00 06 01 02 00 02 00 01   (unit=1, host=192.168.25.10, port=502)
2026/01/13	02:01:13.066	RX FC2	10	00 01 00 00 00 04 01 02 01 00   (unit=1, host=192.168.25.10, port=502)
2026/01/13	02:01:13.066	TX FC2	12	00 01 00 00 00 06 01 02 00 02 00 01   (unit=1, host=192.168.25.10, port=502)
2026/01/13	02:01:13.066	RX FC2	2	01 00   (unit=1, host=192.168.25.10, port=502)
