時間	通訊碼
01:06:41.746	RX: | 00 01 00 00 00 67 01 03 64 00 00 42 34 00 00 40 A0 00 00 00 00 00 00 40 00 00 00 44 16 00 00 40 40 00 00 41 C8 00 00 40 A0 00 00 41 C8 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 C2 48 00 00 00 00 00 00 41 F0 00 00 41 F0 00 00 44 16 26 00 46 FA C3 60 3E 53 00 00 00 00 00 00 00 00 00 00 00 00 C3 60 3E 53 00 00 00 00 |
01:06:42.039	TX: | 00 01 00 00 00 06 01 03 00 6A 00 18 |
01:06:42.053	RX: | 00 01 00 00 00 33 01 03 30 00 00 40 40 00 00 41 C8 00 00 40 A0 00 00 41 C8 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 C2 C8 00 00 00 00 00 00 41 F0 00 00 41 F0 |
01:06:42.815	TX: | 00 01 00 00 00 06 01 03 00 5F 00 32 |
01:06:42.821	RX: | 00 01 00 00 00 67 01 03 64 00 00 42 34 00 00 40 A0 00 00 00 00 00 00 40 00 00 00 44 16 00 00 40 40 00 00 41 C8 00 00 40 A0 00 00 41 C8 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 C2 48 00 00 00 00 00 00 41 F0 00 00 41 F0 00 00 44 16 26 00 46 FA 8E F2 3E 53 00 00 00 00 00 00 00 00 00 00 00 00 8E F2 3E 53 00 00 00 00 |
01:06:43.092	TX: | 00 01 00 00 00 06 01 03 00 6A 00 18 |
01:06:43.106	RX: | 00 01 00 00 00 33 01 03 30 00 00 40 40 00 00 41 C8 00 00 40 A0 00 00 41 C8 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 C2 C8 00 00 00 00 00 00 41 F0 00 00 41 F0 |
01:06:43.865	TX: | 00 01 00 00 00 06 01 03 00 5F 00 32 |
01:06:43.871	RX: | 00 01 00 00 00 67 01 03 64 00 00 42 34 00 00 40 A0 00 00 00 00 00 00 40 00 00 00 44 16 00 00 40 40 00 00 41 C8 00 00 40 A0 00 00 41 C8 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 C2 48 00 00 00 00 00 00 41 F0 00 00 41 F0 00 00 44 16 26 00 46 FA A9 2A 3E 53 00 00 00 00 00 00 00 00 00 00 00 00 A9 2A 3E 53 00 00 00 00 |
01:06:44.145	TX: | 00 01 00 00 00 06 01 03 00 6A 00 18 |
01:06:44.158	RX: | 00 01 00 00 00 33 01 03 30 00 00 40 40 00 00 41 C8 00 00 40 A0 00 00 41 C8 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 C2 C8 00 00 00 00 00 00 41 F0 00 00 41 F0 |
